YearMonth,Domestic Aviation,Ground Transport,Industry,International Aviation,Power,Residential,Total
2024-05,31.526329,581.435633,892.444254,57.108747,1101.650664,189.955115,2912.505712
2024-06,31.912399,552.085189,876.478849,58.193862,1163.093511,160.560476,2897.206967
2024-07,34.377028,568.037984,855.232378,61.628695,1296.177898,155.332766,3029.635743
2024-08,34.030001,572.996798,850.1851819999999,61.118116,1308.03846,152.590446,3035.304105
2024-09,30.829812,568.272674,867.966885,57.608031,1175.753656,166.950532,2920.756325
2024-10,31.8277,593.49323,892.419503,57.61484,1111.577114,229.186938,2977.702981
2024-11,29.27234,567.282619,877.102902,52.556624,1149.699098,329.418387,3059.274392
2024-12,30.589995000000002,572.1691959999999,880.276902,55.544723,1272.386378,479.27971,3346.948982
2025-01,30.322154,561.418405,804.798615,54.233627,1218.270387,518.34997,3246.029899
2025-02,27.738488,512.876989,796.796627,48.409403,1147.93438,451.267703,3037.514978
2025-03,31.509263,593.741313,908.582208,55.581027,1162.713166,343.606158,3155.958459
2025-04,30.438548,582.767355,876.091371,56.851179,1037.133091,241.462355,2882.435477
